id,brand,category,productCategory,colorway,condition,minimumBid,gender,name,releaseDate,retailPrice,shoe,lowestAsk,lowestAskSize,salesThisPeriod,highestBid,highestBidSize,numberOfBids,annualHigh,annualLow,volatility,deadstockSold,pricePremium,averageDeadstockPrice,salesLast72Hours,totalDollars,deadstockSoldRank,pricePremiumRank,averageDeadstockPriceRank,img
803a4a8d-4c94-4e35-92eb-379c279965d1,adidas,adidas EQT,sneakers,Green/Multicolor,New,25,men,Dragon Ball Z Shenron,2018-12-22 23:59:59,None,adidas EQT Support Mid ADV Primeknit,136,6,14,230,14,40,441,90,0.12741,1621,0,216,14,350487,84,28,95,"https://stockx.imgix.net/Adidas-Eqt-Support-Mid-ADV-Primeknit-Dragon-Ball-Z-Shenron-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1548138940"
b4726462-4d73-42f3-aec6-c1c8d9693547,adidas,adidas EQT,sneakers,Black/Black/Gold,New,25,men,Dragon Ball Z Super Shenron,2018-12-22 23:59:59,None,adidas EQT Support Mid ADV Primeknit,151,8.5,10,200,10.5,27,495,120,0.112111,1454,0,220,10,320467,8,95,84,"https://stockx.imgix.net/adidas-EQT-Support-Mid-ADV-Primeknit-Dragon-Ball-Z-Super-Shenron-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1545956655"
eb8c4773-adc0-46d2-873c-c0340debc398,adidas,adidas EQT,sneakers,Brown/Brown/White,New,25,men,Pusha T Brown Paper Bag Bodega Babies,2017-11-03 23:59:59,220,adidas EQT Support Ultra,62,9.5,7,130,14,37,180,49,0.148752,393,-0.727,95,7,37157,73,85,32,"https://stockx.imgix.net/Adidas-EQT-Support-Ultra-Pusha-T-Brown-Paper-Bag.png?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256"
8e76b29b-e1b9-4cc4-bf20-41bcdea169c9,adidas,adidas EQT,sneakers,Core Black/Core Black/Core Black,New,25,men,Red Carpet Pack Black,2018-03-01 23:59:59,190,adidas EQT Support 93/17,85,7.5,3,140,14,19,155,46,0.164935,344,-0.605,97,3,33479,10,83,5,"https://stockx.imgix.net/Adidas-EQT-Support-93-17-Red-Carpet-Pack-Black-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1543951736"
26325831-e1cc-44e7-af87-9a24ab374873,adidas,adidas EQT,sneakers,Utility Black/Light Scarlet/Core Green,New,25,men,Gucci,2017-01-01 23:59:59,110,adidas EQT Support Adv,120,14,2,165,10,34,225,69,0.149067,675,0.173,117,2,79039,62,87,42,"https://stockx.imgix.net/Adidas-EQT-Support-Adv-Gucci.png?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256"
2e4dc7a1-a3c0-47b7-a1ca-5c0cc612a92f,adidas,adidas EQT,sneakers,Core Black/Core Black/Footwear White,New,25,men,Black White,2017-08-24 23:59:59,180,adidas EQT Support 93/17,74,9,2,75,8,13,149,50,0.353184,304,-0.639,72,2,21831,100,12,33,"https://stockx.imgix.net/adidas-EQT-Support-93-17-Black-White-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1543951666"
2c91a3dc-4ba6-40bc-af0b-a259f793a223,adidas,adidas EQT,sneakers,Core Black/Core Black/Turbo,New,25,men,Core Black Turbo,2017-01-26 23:59:59,180,adidas EQT Support 93/17,175,9.5,2,186,13,28,280,136,0.105103,162,0,195,2,31596,67,0,74,"https://stockx.imgix.net/Adidas-EQT-Support-93-17-Core-Black-Turbo.png?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256"
5ccf2b5f-cf8e-49db-9030-5ee2a6b1eb9b,adidas,adidas EQT,sneakers,Footwear White/Royal/Core Black,New,25,men,White Royal,2017-08-31 23:59:59,180,adidas EQT Support 93/17,73,12,2,55,8,13,110,40,0.143139,161,-0.722,64,2,10374,31,81,85,"https://stockx.imgix.net/Adidas-EQT-Support-93-17-White-Royal.png?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256"
a6fcb3b5-61d5-4961-ae30-12cf7016d203,adidas,adidas EQT,sneakers,Footwear White/Footwear White/Footwear White,New,25,men,Gore-tex Reflect & Protect (White),2017-12-26 23:59:59,180,adidas EQT Support 93/17,90,11,2,91,10,24,150,36,0.098025,120,-0.461,94,2,11278,70,58,2,"https://stockx.imgix.net/Adidas-EQT-Support-93-17-Gore-tex-Reflect-Protect-White-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1543951718"
46a248cf-6d7b-40ed-86f5-34e05a201fa1,adidas,adidas EQT,sneakers,Core Black/Clear Granite/Sub Green,New,25,men,Core Black Sub Green,2018-09-01 23:59:59,180,adidas EQT Support 91/18,80,9,2,60,10,11,135,50,0.153234,102,-0.528,89,2,9126,9,83,20,"https://stockx.imgix.net/adidas-EQT-Support-91-18-Core-Black-Sub-Green.png?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256"
